Time,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,Current_gear_shift_position_(Current_gear),sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,Vehicle_Speed,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1,Predicted_sum,,,
318000,31.2890625,22.3828125,22.81334459,0,2.689038526,13.48046875,0.019003378,1,47.92627393,35.1361249,739.2725225,4.802364865,14.00911459,0.171595943,449.1261261,5.317344322,0.450731982,87.92673142,37980.164,15679.066,,,
319000,31.40873894,22.3828125,22.80807522,1,9.921021589,13.47235378,3.72559458,1,54.99443446,43.65612469,1054.137168,25.64878319,14.0439626,0.213540946,565.6277655,8.990910623,0.945122373,87.80157633,38608.17243,16348.875,,,
320000,31.52685547,22.3828125,22.80824498,1,13.19844382,13.52455357,6.892857143,1,59.79680525,47.1547808,1384.590402,32.53683036,14.04475185,0.230355944,624.8683036,11.80825915,1.168465751,88.2320731,39668.0406,17112.555,,,
321000,31.6015625,22.3828125,22.8046875,1,14.94274139,13.72269985,9.974888393,1,59.8215332,46.63979667,1710.896205,32.00446429,14.02549962,0.227827617,625.0200893,13.45939636,1.278189523,89.18101283,40884.762,17911.758,,,
322000,31.8233817,22.3828125,22.67159598,1,15.22167751,13.71605573,12.60665458,1,55.76130022,43.85495867,2015.342634,26.96372768,14.01269095,0.214138031,590.6623884,13.91811371,1.343819755,90.47314453,42137.24275,18762.82,,,
323000,31.8359375,22.3828125,22.6640625,1,16.57482586,13.72360689,15.03076604,1,62.32000138,50.35043902,1871.414823,27.47068584,14.03914892,0.246221762,680.5315265,15.34043033,1.655420354,92.10550332,43584.44303,19745.432,,,
324000,31.8359375,22.3828125,22.6640625,1,18.58820135,13.78738903,18.14644886,1,69.14179688,55.64741655,1854.720455,48.33636364,14.05142933,0.271422508,756.21875,15.71203058,1.583203125,94.81136364,45283.91818,20810.064,,,
325000,32.00418527,22.3828125,22.5811942,1,18.72683934,13.70380947,20.98890904,1,64.16782924,51.84010097,2037.581473,42.31584821,14.04997472,0.252983093,704.671875,15.36243984,1.597246443,95.93774414,46866.05162,21905.191,,,
326000,32.359375,22.3828125,22.40625,1,17.8974221,13.65761719,23.67151989,1,60.72958097,48.78318093,2116.669318,37.00681818,14.0597967,0.238119507,661.19375,14.89701705,1.535662287,96.33128551,48418.0206,22992.818,,,
327000,32.359375,22.3828125,22.40625,1,16.29404979,13.66215337,26.1509009,1,57.54673423,45.34989091,2127.943694,30.8170045,14.0546787,0.221405029,613.4808559,14.0526299,1.392921242,95.53487472,49947.12219,23988.756,,,
328000,32.359375,22.3828125,22.40625,1,14.21836159,13.5972168,27.6375,1,51.65614347,39.70692028,2245.0375,14.57784091,14.044913,0.193828514,534.1846591,13.39588512,1.378284801,93.88760653,51296.37458,24926.266,,,
329000,32.54211648,22.32556818,22.34900568,1,17.62928356,13.76148793,28.76264205,1,62.07908381,49.86039595,1911.177273,34.21590909,14.04143732,0.244247159,674.0022727,14.83811812,1.761337003,93.57872869,52831.73367,25872.705,,,
330000,33.0078125,22.1796875,22.203125,2,14.05062289,13.77373223,30.440808,1,58.14076577,44.69126109,1766.254505,29.70439189,14.06081081,0.217671987,599.4611486,12.17258213,0.999023438,94.3075732,54348.07193,26685.486,,,
331000,33.06443584,22.16807246,22.19441372,2,8.370026445,13.61664304,31.3725802,1,45.10899475,33.49652586,1666.848451,9.26659292,14.07454283,0.163381931,440.2422566,9.446351718,0.708984375,91.04531941,55195.92603,27311.463,,,
332000,33.3125,22.1171875,22.15625,3,6.93351052,13.5939897,31.59730114,1,43.09350142,32.1805087,1739.736364,6.160795455,14.05955256,0.15722795,423.0528409,9.649075595,0.837207032,89.090625,55953.53694,27843.963,,,
333000,33.47572545,22.11265346,22.16078404,3,7.325472151,13.59195382,31.546875,1,44.02762277,33.2737514,1617.945313,0.952566964,14.0572161,0.162652424,435.6467634,9.489958627,0.823791504,88.73413086,56769.86538,28381.26,,,
334000,33.61946903,22.10854535,22.16074392,3,9.181929057,13.57499222,31.58469303,1,45.48351079,34.92247995,1432.529867,11.84845133,14.08515539,0.170662399,454.6792035,8.865761546,0.762686671,88.52730918,57599.25401,28932.549,,,
335000,33.88675394,22.1015625,22.1381616,3,9.307861328,13.55371094,31.6254223,1,45.07499296,35.12237824,1260.587838,12.26463964,14.06629188,0.171502741,452.4268018,8.027415233,0.659997889,88.38707066,58315.58953,29487.068,,,
336000,34.04254261,22.1015625,22.15674716,3,9.307861328,13.55371094,31.625,1,45.31388494,35.28597745,1288.473864,12.67727273,14.06913619,0.172318337,455.6,8.267905495,0.684863282,88.24708807,58985.39574,30043.17,,,
337000,34.22381757,22.1015625,22.17546453,3,9.307861328,13.56173899,31.61901745,1,45.17701295,35.11468011,1291.182432,12.43018018,14.07281109,0.171473323,452.7905405,8.256709468,0.685511684,88.22635135,59675.76211,30601.951,,,
338000,34.42617546,22.1015625,22.21029243,3,9.307861328,13.56591797,31.625,1,45.21319524,35.10227028,1287.995413,12.58658257,14.0662405,0.171464553,453.0579128,8.25668475,0.666150015,88.22462729,60348.47176,31160.916,,,
339000,34.61972128,22.1015625,22.24049831,3,9.307861328,13.56932714,31.61338682,1,45.33540963,35.20276869,1286.563063,12.86768018,14.07157499,0.171941809,454.2308559,8.270676072,0.676617047,88.21867962,61015.57968,31721.36,,,
340000,34.80046453,22.1015625,22.26119088,3,9.307861328,13.578125,31.61936937,1,45.29701577,35.16493789,1288.096847,12.92849099,14.06864091,0.1717741,453.9256757,8.275707348,0.686725789,88.23032798,61700.30363,32282.328,,,
341000,35.04550439,22.1015625,22.26000548,3,9.307861328,13.578125,31.625,1,45.37654194,35.19340649,1285.958333,13.06304825,14.06776402,0.171928807,454.0652412,8.279204787,0.662931744,88.23814419,62380.40296,32841.984,,,
